"Popolazione residente al 1° Gennaio 2020 per età sesso e stato civile"
"Regione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
Piemonte,91,,,,,,,,3588,,,,,,,,8670
Piemonte,92,,,,,,,,2822,,,,,,,,7275
Piemonte,93,,,,,,,,1941,,,,,,,,5777
Piemonte,94,,,,,,,,1378,,,,,,,,4450
Piemonte,95,,,,,,,,967,,,,,,,,3334
Piemonte,96,,,,,,,,705,,,,,,,,2556
Piemonte,97,,,,,,,,438,,,,,,,,1975
Piemonte,98,,,,,,,,276,,,,,,,,1334
Piemonte,99,,,,,,,,166,,,,,,,,842
Piemonte,100,,,,,,,,142,,,,,,,,954
Piemonte,Totale,,,,,,,,2109314,,,,,,,,2232061
Valle d'Aosta/Vallée d'Aoste,0,,,,,,,,413,,,,,,,,417
Valle d'Aosta/Vallée d'Aoste,1,,,,,,,,478,,,,,,,,419
Valle d'Aosta/Vallée d'Aoste,2,,,,,,,,475,,,,,,,,412
Valle d'Aosta/Vallée d'Aoste,3,,,,,,,,500,,,,,,,,461
Valle d'Aosta/Vallée d'Aoste,4,,,,,,,,490,,,,,,,,476
Valle d'Aosta/Vallée d'Aoste,5,,,,,,,,556,,,,,,,,504
Valle d'Aosta/Vallée d'Aoste,6,,,,,,,,516,,,,,,,,516
Valle d'Aosta/Vallée d'Aoste,7,,,,,,,,578,,,,,,,,554
Valle d'Aosta/Vallée d'Aoste,8,,,,,,,,614,,,,,,,,574
Valle d'Aosta/Vallée d'Aoste,9,,,,,,,,584,,,,,,,,577
Valle d'Aosta/Vallée d'Aoste,10,,,,,,,,639,,,,,,,,588
Valle d'Aosta/Vallée d'Aoste,11,,,,,,,,620,,,,,,,,589
Valle d'Aosta/Vallée d'Aoste,12,,,,,,,,627,,,,,,,,587
Valle d'Aosta/Vallée d'Aoste,13,,,,,,,,655,,,,,,,,584
Valle d'Aosta/Vallée d'Aoste,14,,,,,,,,581,,,,,,,,565
Valle d'Aosta/Vallée d'Aoste,15,,,,,,,,590,,,,,,,,590
Valle d'Aosta/Vallée d'Aoste,16,,,,,,,,596,,,,,,,,590
Valle d'Aosta/Vallée d'Aoste,17,,,,,,,,600,,,,,,,,521
Valle d'Aosta/Vallée d'Aoste,18,,,,,,,,627,,,,,,,,560
Valle d'Aosta/Vallée d'Aoste,19,,,,,,,,640,,,,,,,,591
Valle d'Aosta/Vallée d'Aoste,20,,,,,,,,624,,,,,,,,574
Valle d'Aosta/Vallée d'Aoste,21,,,,,,,,632,,,,,,,,574
Valle d'Aosta/Vallée d'Aoste,22,,,,,,,,593,,,,,,,,544
Valle d'Aosta/Vallée d'Aoste,23,,,,,,,,631,,,,,,,,586
Valle d'Aosta/Vallée d'Aoste,24,,,,,,,,614,,,,,,,,546
Valle d'Aosta/Vallée d'Aoste,25,,,,,,,,583,,,,,,,,562
Valle d'Aosta/Vallée d'Aoste,26,,,,,,,,588,,,,,,,,552
